Status,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Application_mode,Debtor,Gender,Course,Curricular_units_2nd_sem_enrolled,Mothers_qualification,Admission_grade,Displaced,Curricular_units_2nd_sem_evaluations,Marital_status,Previous_qualification_grade,Mothers_occupation,Curricular_units_2nd_sem_without_evaluations,GDP,Age_grouped,Admission_grade_grouped,Curricular_units_2nd_sem_grade_grouped,Previous_qualification_grade_grouped
Dropout,0,0.0,1,0,20,17 - 2nd phase - general contingent,0,1,171 - Animation and Multimedia Design,0,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,127.3,1,0,1 – single,122.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,1.74,17-20,121-130,0-3,121-130
Graduate,6,13.666666666666666,0,0,19,15 - International student (bachelor),0,1,9254 - Tourism,6,1 - Secondary Education - 12th Year of Schooling or Eq.,142.5,1,6,1 – single,160.0,3 - Intermediate Level Technicians and Professions,0,0.79,17-20,141-150,12-15,161-170
Dropout,0,0.0,0,0,19,1 - 1st phase - general contingent,0,1,9070 - Communication Design,6,37 - Basic education 1st cycle (4th/5th year) or equiv.,124.8,1,0,1 – single,122.0,9 - Unskilled Workers,0,1.74,17-20,121-130,0-3,121-130
Graduate,5,12.4,1,0,20,17 - 2nd phase - general contingent,0,0,9773 - Journalism and Communication,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,119.6,1,10,1 – single,122.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,-3.12,17-20,111-120,12-15,121-130
Graduate,6,13.0,1,0,45,39 - Over 23 years old,0,0,8014 - Social Service (evening attendance),6,37 - Basic education 1st cycle (4th/5th year) or equiv.,141.5,0,6,2 – married,100.0,9 - Unskilled Workers,0,0.79,41-50,141-150,12-15,101-110
Graduate,5,11.5,1,0,50,39 - Over 23 years old,1,1,9991 - Management (evening attendance),5,37 - Basic education 1st cycle (4th/5th year) or equiv.,114.8,0,17,2 – married,133.1,9 - Unskilled Workers,5,-0.92,41-50,111-120,9-12,131-140
Graduate,8,14.345,1,1,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,128.4,1,8,1 – single,142.0,"7 - Skilled Workers in Industry, Construction and Craftsmen",0,-4.06,17-20,121-130,12-15,141-150
Dropout,0,0.0,0,0,22,18 - 3rd phase - general contingent,0,1,9254 - Tourism,5,37 - Basic education 1st cycle (4th/5th year) or equiv.,113.1,1,5,1 – single,119.0,9 - Unskilled Workers,0,-4.06,21-25,111-120,0-3,111-120
Graduate,6,14.142857142857142,1,1,21,1 - 1st phase - general contingent,0,0,9238 - Social Service,6,1 - Secondary Education - 12th Year of Schooling or Eq.,129.3,0,7,1 – single,137.0,9 - Unskilled Workers,0,-0.92,21-25,121-130,12-15,131-140
Dropout,2,13.5,0,0,18,1 - 1st phase - general contingent,1,0,9238 - Social Service,6,1 - Secondary Education - 12th Year of Schooling or Eq.,123.0,1,14,1 – single,138.0,4 - Administrative staff,0,3.51,17-20,121-130,12-15,131-140
Graduate,5,14.2,1,0,18,1 - 1st phase - general contingent,0,0,9670 - Advertising and Marketing Management,6,38 - Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,130.6,1,7,1 – single,139.0,"5 - Personal Services, Security and Safety Workers and Sellers",0,0.79,17-20,131-140,12-15,131-140
Graduate,7,13.214285714285714,1,1,18,1 - 1st phase - general contingent,0,0,9500 - Nursing,8,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,119.3,1,8,1 – single,136.0,9 - Unskilled Workers,0,-1.7,17-20,111-120,12-15,131-140
Dropout,0,0.0,1,0,19,1 - 1st phase - general contingent,0,0,9853 - Basic Education,6,19 - Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,130.2,1,0,1 – single,133.0,4 - Administrative staff,0,-1.7,17-20,131-140,0-3,131-140
